METRO_ID,Metropolitan areas,Year,GREEN_AREA_PC,POP_DENS
NL002,Amsterdam,2000,235.63,764.71
NL002,Amsterdam,2001,233.57,771.45
NL002,Amsterdam,2002,231.51,778.3
NL002,Amsterdam,2003,229.46,785.26
NL002,Amsterdam,2004,227.41,792.34
NL002,Amsterdam,2005,225.37,799.53
NL002,Amsterdam,2006,223.33,806.83
NL002,Amsterdam,2007,221.29,814.25
NL002,Amsterdam,2008,219.26,821.8
NL002,Amsterdam,2009,217.23,829.47
NL002,Amsterdam,2010,215.21,837.27
NL002,Amsterdam,2011,213.19,845.19
NL002,Amsterdam,2012,211.18,853.26
NL002,Amsterdam,2013,209.17,861.45
NL002,Amsterdam,2014,207.16,869.79
